Date,FCT_SOURCE,POINT,Mean_spd,Variance_spd,sigma_spd,Q1,Q2_median_spd,Q3,Bowley_Skewness,NIU,bins_filled,entropy_norm,I_informativeness
2009-07-01,33,1.5,1.5,0.2625,0.51234753829798,1.0833333333333333,1.5,1.9166666666666667,0.0,0.41833001326703784,4,0.5176692572147991,0.5176692572147991
2009-07-01,36,,1.85,0.415,0.6442049363362563,1.375,1.8333333333333333,2.3,0.00900900900900898,0.6007242006257042,6,0.621417590265145,0.621417590265145
2009-07-01,37,1.7,1.84,0.1519,0.38974350539810154,1.5964912280701755,1.8157894736842106,2.0833333333333335,0.09909909909909917,0.36186776018605055,5,0.4340089144628049,0.4340089144628049
2009-07-01,38,1.9,1.75,0.1,0.31622776601683794,1.5416666666666667,1.75,1.9583333333333333,0.0,0.282842712474619,3,0.3600795361924829,0.3600795361924829
2009-07-01,39,1.7,1.75,0.4,0.6324555320336759,1.25,1.75,2.25,0.0,0.565685424949238,5,0.5964641177259571,0.5964641177259571
2009-07-01,42,1.9,2.025,0.136875,0.36996621467371854,1.7222222222222223,2.0,2.3125,0.058823529411764885,0.3654265799936475,4,0.41904731155877856,0.41904731155877856
2009-07-01,52,0.5,0.55,0.135,0.3674234614174767,0.25,0.5555555555555556,0.8333333333333333,-0.04761904761904784,0.2347382389307855,4,0.41904731155877856,0.41904731155877856
2009-07-01,54,2.1,2.25,0.525,0.724568837309472,1.75,2.25,2.75,0.0,0.6480740698407861,7,0.668821109878258,0.668821109878258
2009-07-01,63,1.6,1.85,0.19,0.43588989435406733,1.55,1.8,2.125,0.1304347826086956,0.4064694223485302,4,0.4625163882782973,0.4625163882782973
2009-07-01,70,1.3,1.1250000000000002,0.096875,0.3112474899497183,0.8571428571428572,1.1363636363636362,1.3636363636363638,-0.10256410256410171,0.2273030282830976,3,0.35107482997521927,0.35107482997521927
2009-07-01,85,0.1,-0.009957500000000157,2.49055247319375,1.578148431927032,-0.6230957764610741,0.20069256613339465,1.0110064421487968,-0.008245791741552997,0.9096360557496048,12,0.7977380492140997,0.7977380492140997
2009-07-01,88,1.9,1.25,0.875,0.9354143466934853,0.5714285714285714,1.25,1.9285714285714286,0.0,0.7071067811865475,9,0.7672327726563841,0.7672327726563841
2009-07-01,89,1.8,1.475,0.336875,0.580409338312195,1.0833333333333333,1.5,1.8571428571428572,-0.07692307692307693,0.4700017439800222,6,0.5846895790948802,0.5846895790948802
2009-07-01,90,1.8,1.85,0.09,0.3,1.625,1.8333333333333333,2.0833333333333335,0.09090909090909152,0.2797514424720941,3,0.34025245104762053,0.34025245104762053
2009-07-01,93,2.0,2.075,0.081875,0.2861380785564899,1.8125,2.090909090909091,2.3181818181818183,-0.10112359550561731,0.2759760690670015,3,0.3202330041712886,0.3202330041712886
2009-07-01,94,1.1,1.19,0.5864,0.7657675887630659,0.7115384615384616,1.1666666666666667,1.6388888888888888,0.01843317972350212,0.5691905661133942,9,0.6839368767504681,0.6839368767504681
2009-07-01,95,1.9,2.11,0.5154000000000001,0.7179136438319027,1.6166666666666667,2.0416666666666665,2.6,0.13559322033898347,0.6814134753028622,7,0.6619633678846983,0.6619633678846983
2009-07-01,98,0.6,0.7,1.544375,1.2427288521636568,0.08333333333333333,0.8125,1.5,-0.029411764705882325,0.8194311388422751,9,0.7918650304922636,0.7918650304922636
2009-07-01,99,1.5,1.675,0.206875,0.4548351349665063,1.5,1.7083333333333333,1.9166666666666667,5.32907051820075e-16,0.3951355153256894,5,0.4552258076349291,0.4552258076349291
2009-07-01,101,1.7,1.45,0.21,0.458257569495584,1.0833333333333333,1.5,1.8125,-0.14285714285714293,0.36808133743473326,4,0.48496643535222267,0.48496643535222267
2009-07-01,103,2.0,1.9,0.365,0.6041522986797286,1.5416666666666667,1.9583333333333333,2.3214285714285716,-0.06870229007633534,0.5760366149978504,7,0.5978220558467398,0.5978220558467398
2009-07-01,104,1.7,1.75,0.3,0.5477225575051661,1.375,1.75,2.125,0.0,0.48989794855663554,5,0.5573234275045237,0.5573234275045237
2009-07-01,105,1.66,1.75,0.2,0.4472135954999579,1.5,1.75,2.0,0.0,0.39999999999999997,5,0.48878134178201676,0.48878134178201676
2009-07-01,106,1.7,1.05,0.985,0.9924716620639604,0.25,1.25,1.8,-0.29032258064516125,0.7107237192666397,8,0.7463044894248847,0.7463044894248847
2009-07-01,107,1.7,1.7507000000000001,1.11037451,1.0537430948765454,1.0917537746806039,1.75,2.345284872298625,-0.05022719670889016,0.9427604862887096,12,0.767345674169871,0.767345674169871
2009-07-01,108,2.3,2.237,0.132331,0.3637732810419149,2.0524193548387095,2.254032258064516,2.4556451612903225,0.0,0.3270739436148258,5,0.40082406832081435,0.40082406832081435
2009-10-01,1,1.7,1.995,0.6574749999999999,0.8108483212044038,1.4,1.9375,2.566666666666667,0.07857142857142865,0.8088287705685935,8,0.7107332498904813,0.7107332498904813
2009-10-01,3,1.4,1.15,0.14,0.37416573867739417,0.8125,1.125,1.4375,0.0,0.2750921221621508,3,0.3997337064822076,0.3997337064822076
2009-10-01,4,1.7,1.575,0.531875,0.7292976072907411,1.25,1.7,1.95,-0.28571428571428564,0.610938306243018,7,0.5938411557968941,0.5938411557968941
2009-10-01,5,1.6,1.625,0.346875,0.5889609494694873,1.25,1.6875,2.0,-0.16666666666666666,0.5022675853295007,6,0.583588381008243,0.583588381008243
2009-10-01,8,1.9,1.83,1.7373500000000002,1.3180857331751983,1.1111111111111112,1.75,2.35,-0.03139013452914787,1.2185706913899292,11,0.7839782179274573,0.7839782179274573
2009-10-01,10,2.1,2.2796250000000002,2.1378286093749996,1.4621315294374169,1.4713639788997739,2.152417302798982,2.842391304347826,0.006506564445548521,1.2925432505745567,12,0.7942246439400326,0.7942246439400326
2009-10-01,15,1.5,1.375,0.371875,0.6098155458825234,1.0,1.4166666666666667,1.7857142857142856,-0.06060606060606097,0.4783786720226497,6,0.5846895790948802,0.5846895790948802
2009-10-01,16,1.3,1.1475,1.07511875,1.036879332420123,0.5,1.1818181818181819,1.84375,-0.014799154334038144,0.7618142809441631,11,0.7890119779810825,0.7890119779810825
2009-10-01,20,1.5,1.35,0.415,0.6442049363362563,0.875,1.3333333333333333,1.8,0.009009009009009217,0.5015128627614167,6,0.621417590265145,0.621417590265145
2009-10-01,22,1.8,1.625,0.346875,0.5889609494694873,1.25,1.6875,2.0,-0.16666666666666666,0.5022675853295007,6,0.583588381008243,0.583588381008243
2009-10-01,23,1.8,1.97,0.6616,0.8133879763065102,1.4,1.94,2.566666666666667,0.07428571428571445,0.8014549875616088,8,0.7129634368851833,0.7129634368851833
2009-10-01,29,1.9,1.75,0.15,0.3872983346207417,1.4166666666666667,1.75,2.0833333333333335,3.330669073875469e-16,0.34641016151377546,3,0.4126094431999216,0.4126094431999216
2009-10-01,31,2.0,2.175,0.206875,0.4548351349665063,1.875,2.2222222222222223,2.5,-0.11111111111111142,0.419599606514632,4,0.47670360596054284,0.47670360596054284
2009-10-01,33,2.2,2.25,0.3,0.5477225575051661,1.875,2.25,2.625,0.0,0.48989794855663554,5,0.5573234275045237,0.5573234275045237
2009-10-01,37,2.1,1.995,0.14247500000000002,0.37745860700214534,1.725,2.03125,2.2916666666666665,-0.08088235294117661,0.3765184844788219,5,0.4155404931699593,0.4155404931699593
2009-10-01,38,2.2,2.25,0.1,0.31622776601683794,2.0416666666666665,2.25,2.4583333333333335,0.0,0.282842712474619,3,0.3600795361924829,0.3600795361924829
2009-10-01,39,1.5,1.375,0.271875,0.5214163403653552,1.0,1.4166666666666667,1.7857142857142856,-0.06060606060606097,0.4090326298813975,5,0.5420732146598727,0.5420732146598727
2009-10-01,42,2.0,2.05,0.135,0.3674234614174767,1.75,2.0555555555555554,2.3333333333333335,-0.04761904761904668,0.35856858280031817,4,0.41904731155877856,0.41904731155877856
