INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0T4_4,F4_5T4_9,F5_0,,
2025,115,2,1.61538462,3.43885959,5.55157615,7.29009332,9.00409961,10.41438328,11.25415211,11.3509375,10.68426091,9.39268567,7.72693326,5.9707644,4.36372358,1.94214601,,
2025,117,1.8,,,,,,,,,,,,,,,,
2025,118,1.14342611,,,,,,,,,,,,,,,,
2025,119,1.8,0,0,0,2.5,2.5,10,60,10,5,10,0,0,0,0,,
2025,121,1.93082371,0,1,2,4,8,13,25,20,15,6,3,1,1,1,,
2025,127,2.1,0,0,0,1,3,6,16,22,16,13,10,6,4,3,,
2025,128,2.5,1,1,2,4,5,10,12,15,15,12,8,5,5,5,,
2025,137,1.94,0.8,1.5,3.3,6.1,9.8,13.3,15.6,15.5,13.2,9.6,6,3.2,1.3,0.8,,
2025Sep,1,2.6,,,,,,,,,,,,,,,,
2025Sep,2,1.8,0,0,0,0,0,20,30,30,20,0,0,0,0,0,,
2025Sep,4,1.7,5,2.5,2.5,5,10,10,10,10,10,10,10,5,2.5,7.5,,
2025Sep,5,2,0,1,2,5,7,10,25,25,10,7,5,2,1,0,,
2025Sep,6,2,0,0,0,0,5,15,20,30,20,10,0,0,0,0,,
2025Sep,8,2,0,0,0,0,5,10,25,30,20,10,0,0,0,0,,
2025Sep,14,2.7,0,0,1,2,5,8,12,15,16,14,11,8,5,3,,
2025Sep,16,2,0,1,1,2,3,6,15,17,16,13,11,8,5,2,,
2025Sep,20,2,0,0,0,0,8,12,25,30,15,8,2,0,0,0,,
2025Sep,23,2.4,0,0,0,1,2,7,16,19,19,16,11,7,2,0,,
2025Sep,24,2.38461423,0,0,0,3,3,10,10,25,25,15,5,3,1,0,,
2025Sep,26,1.8,0,2,3,5,10,12,20,20,12,6,5,3,2,0,,
2025Sep,29,2,0,1.5,2.5,3,5,12.5,22,24,13,7.5,5,2.5,1,0.5,,
2025Sep,33,2.2,0,0,0,0,5,5,10,60,10,5,5,0,0,0,,
2025Sep,37,2.4,0,0,0,0,0,1,17,44,32,6,0,0,0,0,,
2025Sep,39,2.01898694,0,0,0,0,0,10,30,30,25,5,0,0,0,0,,
2025Sep,41,2.2,0,0,0,0,0,0,0,70,30,0,0,0,0,0,,
2025Sep,45,1.22868536,0,0,0,0,30,40,30,0,0,0,0,0,0,0,,
2025Sep,49,2,,,,,,,,,,,,,,,,
2025Sep,54,,0,0,0,0,10,10,10,10,10,10,10,10,10,10,,
2025Sep,56,2.4,0,0,0,0,0,5,20,30,30,10,5,0,0,0,,
2025Sep,63,,0,0,0,0,0,15,30,40,10,5,0,0,0,0,,
2025Sep,65,2.2,,,,,,,,,,,,,,,,
2025Sep,68,2.1,,,,,,,,,,,,,,,,
2025Sep,85,1.59619176,6.9e-07,0.00018791,0.01759719,0.57183096,6.54733642,26.84208465,39.8992073,21.59162809,4.22744267,0.29537569,0.00724671,6.151e-05,1.8e-07,0,,
2025Sep,88,2.7,0,0.81744058,1.34798618,2.6815875,5.84243463,9.91274251,12.31691064,14.23408164,15.90826225,14.75735875,10.48756249,6.44128779,5.25234505,0,,
2025Sep,89,1.8,0,0,0,2.5,10,20,30,17.5,12.5,5,2.5,0,0,0,,
2025Sep,91,2.22,0,0,0,0,5,10,12,38,20,15,0,0,0,0,,
2025Sep,93,1.9,0,0,0,0,0,10,40,50,0,0,0,0,0,0,,
2025Sep,95,2.3,0.0002641,0.00518798,0.06534475,0.52772006,2.73260433,9.07256589,19.31362254,26.36195281,23.07127774,12.94630835,4.65801064,1.0745713,0.15894623,0.01162328,,
2025Sep,98,2.6,0,0,0,0,5,5,10,15,20,20,15,5,5,0,,
2025Sep,103,2.2,,,,,,,,,,,,,,,,
2025Sep,107,2.11299161,4.1,3.1,4.6,6.3,8.1,9.6,10.6,10.9,10.3,9.1,7.5,5.7,4,6.1,,
2025Sep,108,1.155606,0,0,10.74,12.25,16.85,20.34,16.91,12.27,7.62,2.97,0.05,0,0,0,,
2025Sep,109,1.7,0,0,0,0,5,20,30,30,10,5,0,0,0,0,,
2025Sep,110,1.95904415,6.14578348,3.69799549,5.11137721,6.63198414,8.07761702,9.23543707,9.91211172,9.98641313,9.44468508,8.38494069,6.98790446,5.46673728,4.0146113,6.90240195,,
2025Sep,112,2.6,0,0,0,0,0,5,10,20,30,20,10,5,0,0,,
2025Sep,114,2.3,,,,,,,,,,,,,,,,
2025Sep,115,2.1,1.53846154,3.13146251,5.13461085,6.84792221,8.58878024,10.08524314,11.06108969,11.31836626,10.80275639,9.62224437,8.01030247,6.25076752,4.59745071,3.01054209,,
2025Sep,117,1.8,,,,,,,,,,,,,,,,
2025Sep,118,1.1536827,,,,,,,,,,,,,,,,
2025Sep,121,1.78360168,0,1,2,4,8,13,25,20,15,6,3,1,1,1,,
2025Sep,127,2.1,2.5,2,2.5,5,5,7,12.5,15,12.5,10,9,7,5,5,,
2025Sep,128,2.4,1,1,2,4,5,10,14,15,15,10,8,5,5,5,,
2025Sep,137,1.67,2.2,2.8,5.1,8.2,11.4,13.8,14.7,13.6,11,7.8,4.8,2.6,1.2,0.8,,
2028,1,2,0,0,0,0,0,5,40,40,15,0,0,0,0,0,,
2028,2,2,0,0,0,0,10,20,30,30,10,0,0,0,0,0,,
2028,4,2,5,2.5,2.5,5,10,10,10,10,10,10,10,5,2.5,7.5,,
2028,5,2,0,1,2,5,7,10,25,25,10,7,5,2,1,0,,
2028,6,2,0,0,0,0,0,5,35,40,15,5,0,0,0,0,,
2028,7,2.3,,,,,,,,,,,,,,,,
2028,8,2,0,0,0,2,5,15,28,32,15,2,1,0,0,0,,
2028,14,3.7,0,0,0,0,1,2,5,9,11,14,16,14,12,16,,
2028,15,2.3,0,0,0,5,10,10,10,15,20,15,10,5,0,0,,
2028,16,1.8,3,3,3,5,7,18,21,16,12,7,3,2,0,0,,
2028,20,1.9,0,0,0,0,5,17,30,28,15,5,0,0,0,0,,
2028,23,2.8,0,0,1,3,7,11,13,15,17,16,11,5,1,0,,
2028,24,2.4,0,0,0,3,3,10,10,25,25,15,5,3,1,0,,
2028,26,1.85,0,1,3,6,12,12,24,20,12,6,3,1,0,0,,
2028,29,2,1,1.5,2,3,5,12.5,20,23,17.5,8.5,3,1.5,1,0.5,,
2028,30,2,,,,,,,,,,,,,,,,
2028,32,2.3,,,,,,,,,,,,,,,,
2028,33,2.1,0,0,0,0,5,10,15,40,15,10,5,0,0,0,,
2028,37,2.4,0,0,0,0,0,2,8,49,37,4,0,0,0,0,,
2028,38,2.2,0,0,0,0,0,0,0,80,20,0,0,0,0,0,,
2028,39,2.0091175,0,0,0,0,10,15,25,20,20,10,0,0,0,0,,
2028,45,1.90060842,0,0,0,0,0,10,40,40,10,0,0,0,0,0,,
2028,48,2,,,,,,,,,,,,,,,,
2028,49,2,,,,,,,,,,,,,,,,
