INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN0_8,FN0_7TN0_3,FN0_2T0_2,F0_3T0_7,F0_8T1_2,F1_3T1_7,F1_8T2_2,F2_3T2_7,F2_8T3_2,F3_3T3_7,F3_8T4_2,F4_3T4_7,F4_8,,,
2027Jun,33,2.1,0,1.5,2.7,5.5,9,12.3,15,15,15,11,8,5,0,,,
2027Jun,37,2.3,0,0,0,0,0,4,38,50,8,0,0,0,0,,,
2027Jun,39,1.73554055,0,0,0,0,10,40,30,20,0,0,0,0,0,,,
2027Jun,49,2,,,,,,,,,,,,,,,,
2027Jun,54,1.775,0,0,0,10,15,20,30,15,10,0,0,0,0,,,
2027Jun,56,1.87,0,0,0,0,5,40,40,15,0,0,0,0,0,,,
2027Jun,59,2,0,0,0,0,0,20,60,20,0,0,0,0,0,,,
2027Jun,85,2.04177814,3e-08,1.761e-05,0.00340315,0.20141428,3.71973665,21.91187511,41.98512832,26.40204477,5.41366318,0.35536586,0.00730483,4.611e-05,9e-08,,,
2027Jun,88,2,0.5,0.28507618,1.61852284,4.72026248,9.59966502,12.98011214,15.91871478,21.7077519,17.78970485,10.25566944,3.08846836,1.03605202,0.5,,,
2027Jun,89,1.8,0,1.5,3,7.5,15,20,20,15,10,5,3,0,0,,,
2027Jun,91,2,0,0,0,0,8,25,34,25,8,0,0,0,0,,,
2027Jun,95,2.3,0.01956177,0.27370191,1.12411829,3.49875148,8.25863547,14.77600422,20.04022233,20.60368415,16.05772631,9.48680642,4.24866849,1.44238923,0.16972994,,,
2027Jun,98,2.1,0,0,0,5,5,15,25,35,10,5,0,0,0,,,
2027Jun,107,1.75385419,1.98839721,3.00438392,5.84954915,9.64443557,13.46564497,15.92132256,15.94173728,13.51751006,9.70642848,5.90225879,3.03923753,1.32521877,0.69387572,,,
2027Jun,114,2.2,,,,,,,,,,,,,,,,
2027Jun,115,2.19515703,1.65721652,4.13722421,5.77420027,7.62833566,9.44968363,10.9201743,11.74147386,11.73312971,10.89702132,9.41667233,7.59176769,5.73979236,3.31330813,,,
2027Jun,117,1.37012743,,,,,,,,,,,,,,,,
2027Jun,118,1.7,,,,,,,,,,,,,,,,
2027Jun,121,1.91541022,0,1,1,4,10,20,31,15,10,5,2,1,0,,,
2027Jun,127,2,0,0,1,6,12,20,25,15,9,5,4,2,1,,,
2027Jun,128,2,0,1,2,5,10,20,28,15,10,5,2,1,1,,,
2027Jun,137,1.87,0.50005001,1.59015902,3.48034803,8.00080008,12.00120012,16.00160016,23.20232023,16.00160016,9.6009601,7.00070007,2.00020002,0.320032,0.30003,,,
2030,1,2,0,0,0,0,5,20,50,20,5,0,0,0,0,,,
2030,5,2,0,0,0,0,5,25,40,25,5,0,0,0,0,,,
2030,6,2,0,0,0,0,10,20,40,20,10,0,0,0,0,,,
2030,7,2,,,,,,,,,,,,,,,,
2030,8,2,0,0,1,3,9,22,30,22,9,3,1,0,0,,,
2030,14,3,0,0,0,2,4,7,11,15,17,16,12,8,8,,,
2030,15,2.25,0,0,5,5,10,10,20,20,10,10,5,5,0,,,
2030,16,1.9,2,4,5,7,10,16,19,17,10,4,3,2,1,,,
2030,20,1.9,0,0,0,5,14,20,30,20,8,3,0,0,0,,,
2030,26,1.9,0,1,3,5,12,22,30,14,6,4,2,1,0,,,
2030,29,2,0,0,0,3.5,8,22,31,23,9,3.5,0,0,0,,,
2030,33,2,2,3,4,5,10,12,28,12,10,5,4,3,2,,,
2030,37,2.2,0,0,0,0,1,12,60,26,1,0,0,0,0,,,
2030,38,2.07,0,0,0,0,0,0,80,20,0,0,0,0,0,,,
2030,39,1.87731762,0,0,0,0,10,15,50,15,5,5,0,0,0,,,
2030,47,2,,,,,,,,,,,,,,,,
2030,48,1.8,,,,,,,,,,,,,,,,
2030,49,2,,,,,,,,,,,,,,,,
2030,54,1.775,0,0,0,10,15,20,30,15,10,0,0,0,0,,,
2030,56,2,0,0,0,0,5,25,50,15,5,0,0,0,0,,,
2030,59,2.3,0,0,0,0,0,0,30,60,10,0,0,0,0,,,
2030,80,1.88,2.01005025,2.4120603,4.62311558,9.24623116,11.85929648,14.07035176,13.26633166,14.67336683,11.75879397,7.03517588,5.02512563,2.81407035,1.20603015,,,
2030,82,2,0.4,0.5,1,2,6,24,35,25,3.5,1,0.8,0.5,0.3,,,
2030,85,2,0.02935554,0.21643458,1.18951204,4.47321013,11.51655889,20.30795696,24.53394369,20.30795696,11.51655889,4.47321013,1.18951204,0.21643458,0.02935554,,,
2030,88,2,0.5,2.04420245,3.72354476,6.74668572,9.93640781,13.11205285,13.9371064,18.16965798,13.94611191,9.77501339,4.84480158,1.95874045,1.3056747,,,
2030,89,2,0.5,1.5,3,7.5,10,15,30,12.5,10,5,3,1.5,0.5,,,
2030,91,1.5,0,0,5,5,20,35,25,10,0,0,0,0,0,,,
2030,95,2,0.1018175,0.87953597,2.70909378,6.49715362,12.13949492,17.66330247,20.01564425,17.66418565,12.14070893,6.49861567,2.70909378,0.87953597,0.1018175,,,
2030,98,2.1,0,0,0,5,10,15,35,25,5,5,0,0,0,,,
2030,99,2,0,0,0,0,0,15,70,15,0,0,0,0,0,,,
2030,102,2.2,0,0,0,0,5,25,30,25,10,5,0,0,0,,,
2030,107,1.7,,,,,,,,,,,,,,,,
2030,109,2,0,0,0,0,10,20,40,20,10,0,0,0,0,,,
2030,110,2,8.8057694,5.82989887,6.50161379,7.93939679,9.10834044,9.81694898,9.94029816,9.45600946,8.45088028,7.09547484,5.59688378,4.14759374,7.31089147,,,
2030,114,2,,,,,,,,,,,,,,,,
2030,117,2,,,,,,,,,,,,,,,,
2030,118,2,,,,,,,,,,,,,,,,
2030,121,2,0,0,0,0.5,4,10,75,8,2,0.5,0,0,0,,,
2030,127,2,0,0,1,6,12,20,25,15,9,5,4,2,1,,,
2030,128,2.1,1,2,3,5,8,12,25,20,12,6,2,2,2,,,
2030,135,2,0,0,0,2.5,7.5,22.5,35,22.5,7.5,2.5,0,0,0,,,
2030,137,2,0.450045,1.04010401,3.00030003,7.00070007,10.0010001,18.00180018,24.40244024,16.00160016,8.50085009,7.00070007,4.00040004,0.30003,0.30003,,,
,,,,,,,,,,,,,,,,,,
CORE INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN CORE,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN0_8,FN0_7TN0_3,FN0_2T0_2,F0_3T0_7,F0_8T1_2,F1_3T1_7,F1_8T2_2,F2_3T2_7,F2_8T3_2,F3_3T3_7,F3_8T4_2,F4_3T4_7,F4_8,,,
2025,1,2.3,0,0,0,0,0,0,50,50,0,0,0,0,0,,,
2025,2,2.3,0,0,0,0,0,15,35,35,15,0,0,0,0,,,
2025,5,2.2,0,0,0,0,0,5,60,35,0,0,0,0,0,,,
2025,6,2.3,0,0,0,0,5,15,25,40,10,5,0,0,0,,,
2025,7,2.5,,,,,,,,,,,,,,,,
2025,8,2.4,0,0,0,0,0,0,40,60,0,0,0,0,0,,,
2025,14,2.4,0,0,0,0,0,0,9,86,5,0,0,0,0,,,
2025,15,2.1,0,0,0,5,10,15,25,20,20,5,0,0,0,,,
2025,16,2.5,,,,,,,,,,,,,,,,
2025,23,2.2,0,0,0,0,0,5,50,40,5,0,0,0,0,,,
2025,24,2.32056158,0,0,3,5,8,12,14,23,21,6,4,4,0,,,
2025,26,2.3,0,0,1,2,3,5,38,40,5,3,2,1,0,,,
2025,33,2.4,0,0,0.5,2,5,11,16,20,20,16,9.5,0,0,,,
2025,37,2.3,0,0,0,0,0,0,37,58,5,0,0,0,0,,,
2025,39,2.33334019,0,0,0,0,0,15,60,25,0,0,0,0,0,,,
2025,47,2.4,0,0,0,0,0,15,25,40,15,5,0,0,0,,,
2025,49,2.3,,,,,,,,,,,,,,,,
2025,54,2.3,0,0,0,0,0,0,45,50,5,0,0,0,0,,,
2025,56,2.38,0,0,0,0,0,5,40,50,5,0,0,0,0,,,
2025,59,2.4,0,0,0,0,0,0,20,60,20,0,0,0,0,,,
2025,82,2.3,0.2,0.3,0.4,0.5,0.5,1,39,46,11,0.4,0.3,0.2,0.2,,,
2025,85,2.43982193,0,0,0,0,6.18e-06,0.10851075,19.83464969,71.65545264,8.38551824,0.01586221,2.9e-07,0,0,,,
2025,88,2.3,,,,,,,,,,,,,,,,
2025,89,2.2,0,0,0,5,7.5,10,30,25,15,5,2.5,0,0,,,
2025,91,2.35,0,0,0,0,0,10,30,40,20,0,0,0,0,,,
2025,95,2.53401745,0.00034625,0.01880788,0.16554627,0.9854748,3.97223885,10.83203093,19.98656432,24.9528478,21.07928171,12.04883941,4.66002603,1.2195095,0.07848627,,,
2025,97,2.1,,,,,,,,,,,,,,,,
2025,98,2.4,0,0,0,0,5,5,25,50,10,5,0,0,0,,,
