INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,,,,,,
2022Jun,49,1.2,,,,,,,,,,,,,,,,,,,,,
2022Jun,52,1.8,0,0,0,2,7,19,31,26,11,3,1,0,,,,,,,,,
2022Jun,54,,0,0,0,0,33.3333333334,33.3333333333,33.3333333333,0,0,0,0,0,,,,,,,,,
2022Jun,56,1.6,,,,0,15,25,30,20,10,,,,,,,,,,,,
2022Jun,61,1.5,,,,2.5,15,27.5,35,15,5,,,,,,,,,,,,
2022Jun,65,,,,,,,,,,,,,,,,,,,,,,
2022Jun,73,1.5,,,,,15,35,40,10,,,,,,,,,,,,,
2022Jun,80,,,,,,,,,,,,,,,,,,,,,,
2022Jun,82,1.3,,,,,,,,,,,,,,,,,,,,,
2022Jun,85,1.562844427,.0000000001,.000000402,.0004615609,.095998737,3.7600535143,29.3487656471,48.3642583178,17.151083996,1.2612368443,.0180928376,.0000481199,.000000023,,,,,,,,,
2022Jun,88,1.7,,,,,,,,,,,,,,,,,,,,,
2022Jun,89,1.4,,,2.5,7.5,17.5,30,17.5,10,7.5,5,2.5,,,,,,,,,,
2022Jun,90,1,1,2,5,15,30,20,15,7,3,2,0,0,,,,,,,,,
2022Jun,91,1.5,0,0,0,0,17.5,27.5,32.5,15,7.5,0,0,0,,,,,,,,,
2022Jun,93,1.4,,,,,2.5,52.5,42.5,2.5,,,,,,,,,,,,,
2022Jun,97,1.4,,,,,,,,,,,,,,,,,,,,,
2022Jun,98,1.5,,,,,5,30,45,15,5,,,,,,,,,,,,
2022Jun,99,1.46,,,,,,,,,,,,,,,,,,,,,
2022Jun,101,1.2,,,,,,,,,,,,,,,,,,,,,
2022Jun,102,.9,,,,,,,,,,,,,,,,,,,,,
2022Jun,103,,,,,,,,,,,,,,,,,,,,,,
2022Jun,105,1.8,,,,,,,95,5,,,,,,,,,,,,,
2022Jun,107,.9415404689,.2526721431,1.534965897,6.3503587624,16.3098093974,26.0272818667,25.8187993384,15.9208810326,6.0998257605,1.4507858858,.2139441218,.0195339673,.001141827,,,,,,,,,
2022Jun,109,1.3,0,0,0,0,10,45,35,10,0,0,0,0,,,,,,,,,
2022Jun,110,1.5,.0526119078,.3544682812,1.7823597169,6.096783194,14.1950348988,22.5050737807,24.3015384206,17.8736635766,8.9526546469,3.0528125106,.7083369428,.1246621231,,,,,,,,,
2022Jun,112,1.8,,,,5,10,15,30,25,10,5,,,,,,,,,,,
2022Jun,114,1.4,,,,,,,,,,,,,,,,,,,,,
2022Jun,115,.7,3.5612546901,4.8248576367,11.4090699745,17.7154139639,20.8934119573,18.7170594709,12.7358301873,6.5818474292,2.5831416991,.7697659595,.174137775,.0342092565,,,,,,,,,
2022Jun,116,1.6,,,,,,,,,,,,,,,,,,,,,
2022Jun,117,.9156626607,,,,,,,,,,,,,,,,,,,,,
2022Jun,118,1.2,,,,,,,,,,,,,,,,,,,,,
2022Jun,119,,,,,,,5,5,80,5,5,,,,,,,,,,,
2022Jun,121,1.84,0,.5,1,2.5,5,15,26.5,24,15,7,3,.5,,,,,,,,,
2022Jun,127,1.3,0,2,5,10,17,30,17,11,5,2,1,0,,,,,,,,,
2022Jun,128,1.8,,,,1,5,18,35,30,8,2,1,,,,,,,,,,
2023,1,1.6,,1,3,5,10,17,36,20,5,2,1,,,,,,,,,,
2023,4,,,,,,,,,,,,,,,,,,,,,,
2023,6,1.4,,,,5,10,40,35,10,,,,,,,,,,,,,
2023,7,1.6039634889,,,,,,,,,,,,,,,,,,,,,
2023,14,2.4,0,0,0,1,3,9,18,24,23,15,5,2,,,,,,,,,
2023,15,2,,,,5,10,15,20,20,15,10,5,,,,,,,,,,
2023,16,1.1,4,5,6,11,16,20,14,11,6,4,2,1,,,,,,,,,
2023,20,1.6,,,,3,10,25,32,17,10,3,,,,,,,,,,,
2023,22,1.7,,,,,10,20,40,20,10,,,,,,,,,,,,
2023,23,1.6,,,1,8,15,20,25,20,10,1,,,,,,,,,,,
2023,24,1.2,1,2,5,14,16,20,22,14,3,2,1,,,,,,,,,,
2023,26,1.5,,5,5,10,10,20,20,10,10,5,5,,,,,,,,,,
2023,29,1.5,0,.5,.5,1,14.5,20,50,7,5,1,.5,0,,,,,,,,,
2023,30,,,,,,,,,,,,,,,,,,,,,,
2023,32,,,,,,,,,,,,,,,,,,,,,,
2023,37,1.8,,,,,1,32,52,15,,,,,,,,,,,,,
2023,39,1.6,,,,,10,30,30,20,10,,,,,,,,,,,,
2023,41,,,,,,,,,,,,,,,,,,,,,,
2023,42,,,,,,,,,,,,,,,,,,,,,,
2023,45,1.51,,,,,10,35,35,15,5,,,,,,,,,,,,
2023,47,,,,,,,,,,,,,,,,,,,,,,
2023,48,,,,,,,,,,,,,,,,,,,,,,
2023,49,1.38,,,,,,,,,,,,,,,,,,,,,
2023,52,,,,,,,,,,,,,,,,,,,,,,
2023,54,,,,,,30,40,30,,,,,,,,,,,,,,
2023,56,1.3,,,,5,20,40,25,10,,,,,,,,,,,,,
2023,61,,,,,,,,,,,,,,,,,,,,,,
2023,65,1.7,,,,,5,20,50,20,5,,,,,,,,,,,,
2023,73,1.3,,,,,20,50,25,5,,,,,,,,,,,,,
2023,80,1.7,1.3742071882,2.9598308668,6.0253699789,8.245243129,12.0507399577,17.6532769554,14.3763213531,13.5306553911,10.6765327696,5.6025369979,4.1226215645,3.3826638478,,,,,,,,,
2023,82,,,,,,,,,,,,,,,,,,,,,,
2023,85,1.6857518679,.0000204197,.0015995395,.0567308036,.9117104456,6.6853288028,22.513512804,34.9873369594,25.1402643025,8.3403195546,1.2717681739,.0885703727,.0028378217,,,,,,,,,
2023,88,1.8,,,,,,,,,,,,,,,,,,,,,
2023,89,1.4,,,2.5,2.5,20,35,20,10,7.5,2.5,,,,,,,,,,,
2023,90,1.5,0,0,2,10,17,20,25,12,8,5,1,0,,,,,,,,,
2023,91,1.4,0,0,0,5,20,35,20,15,5,0,0,0,,,,,,,,,
2023,93,1.4,,,,,2.5,52.5,42.5,2.5,,,,,,,,,,,,,
2023,97,1.2,,,,,,,,,,,,,,,,,,,,,
2023,98,1.4,,,,5,15,35,25,15,5,,,,,,,,,,,,
2023,99,1.4,,,,,,70,30,,,,,,,,,,,,,,
2023,101,1.2,,,2,5.5,25,35,25,5.5,2,,,,,,,,,,,,
2023,102,1.3,,,,,10,60,30,,,,,,,,,,,,,,
2023,103,1.5,,,,,,,,,,,,,,,,,,,,,
2023,105,1.8,,,,,,,90,10,,,,,,,,,,,,,
2023,107,1.4245289184,.0096316836,.1513835792,1.3649399074,6.8427948217,19.1203003005,29.830323069,26.0061863838,12.666020889,3.4418493994,.5207334334,.0437484251,.0020881079,,,,,,,,,
2023,109,1.6,0,0,0,0,5,30,55,10,0,0,0,0,,,,,,,,,
2023,110,,,,,,,,,,,,,,,,,,,,,,
2023,112,1.5,,,,5,15,25,30,15,10,,,,,,,,,,,,
2023,114,1.8,,,,,,,,,,,,,,,,,,,,,
2023,115,,,,,,,,,,,,,,,,,,,,,,
2023,116,1,,,,,,,,,,,,,,,,,,,,,
2023,117,1,,,,,,,,,,,,,,,,,,,,,
2023,118,1.4,,,,,,,,,,,,,,,,,,,,,
2023,119,,,,,,,5,5,10,60,10,5,5,,,,,,,,,
