Date,FCT_SOURCE,POINT,"]-inf,-1]","[-1,-0.6]","[-0.5,-0.1]","[0,0.4]","[0.5,0.9]","[1,1.4]","[1.5,1.9]","[2,2.4]","[2.5,2.9]","[3,3.4]","[3.5,3.9]","[4.0,4.4]","[4.5,4.9]","[5,+inf[","]-inf,-0.8]","[-0.7,-0.3]","[-0.2,0.2]","[0.3,0.7]","[0.8,1.2]","[1.3,1.7]","[1.8,2.2]","[2.3,2.7]","[2.8,3.2]","[3.3,3.7]","[3.8,4.2]","[4.3,4.7]","[4.8,+inf["
1999-10-01,4,2.0,0.0,,,,,,50.0,50.0,,,,,,0.0,,,,,,,,,,,,,
1999-10-01,5,1.5,0.0,,,,5.0,25.0,65.0,5.0,,,,,,0.0,,,,,,,,,,,,,
1999-10-01,9,1.3,0.0,,,,20.0,60.0,20.0,,,,,,,0.0,,,,,,,,,,,,,
1999-10-01,11,1.7,0.0,,,,,10.0,85.0,5.0,,,,,,0.0,,,,,,,,,,,,,
1999-10-01,14,1.5,0.0,,,,,30.0,70.0,,,,,,,0.0,,,,,,,,,,,,,
1999-10-01,16,1.1,2.0,,,5.0,20.0,30.0,22.0,15.0,2.0,2.0,,,,2.0,,,,,,,,,,,,,
1999-10-01,19,1.8,0.0,,,,,20.0,80.0,,,,,,,0.0,,,,,,,,,,,,,
1999-10-01,23,2.0,0.0,,,,,,40.0,50.0,10.0,,,,,0.0,,,,,,,,,,,,,
1999-10-01,24,2.1,0.0,,,,5.0,15.0,25.0,30.0,10.0,10.0,,,,5.0,,,,,,,,,,,,,
1999-10-01,26,2.0,0.0,,,,,10.0,30.0,40.0,20.0,,,,,0.0,,,,,,,,,,,,,
1999-10-01,28,1.5,0.0,,,,10.0,35.0,40.0,15.0,,,,,,0.0,,,,,,,,,,,,,
1999-10-01,30,1.8,0.0,,,,,,100.0,,,,,,,0.0,,,,,,,,,,,,,
1999-10-01,32,2.0,0.0,,,,,10.0,40.0,45.0,5.0,,,,,0.0,,,,,,,,,,,,,
1999-10-01,33,2.6,0.0,,,,,,,10.0,70.0,20.0,,,,0.0,,,,,,,,,,,,,
1999-10-01,36,1.8,0.0,,,,,15.0,55.00000000000001,25.0,5.0,,,,,0.0,,,,,,,,,,,,,
1999-10-01,37,2.0,0.0,,,,,,50.0,50.0,,,,,,0.0,,,,,,,,,,,,,
1999-10-01,38,1.6,0.0,,,,,5.0,90.0,5.0,,,,,,0.0,,,,,,,,,,,,,
1999-10-01,39,1.6,0.0,,,,,33.0,45.0,22.0,,,,,,0.0,,,,,,,,,,,,,
1999-10-01,40,1.5,0.0,,,,10.0,40.0,35.0,15.0,,,,,,0.0,,,,,,,,,,,,,
1999-10-01,41,1.6,0.0,,,,,5.0,90.0,5.0,,,,,,0.0,,,,,,,,,,,,,
1999-10-01,42,1.7,0.0,,,,,15.0,75.0,10.0,,,,,,0.0,,,,,,,,,,,,,
1999-10-01,46,0.81,4.040404040404041,,,21.21212121212121,41.41414141414141,27.272727272727277,6.0606060606060606,,,,,,,0.0,,,,,,,,,,,,,
1999-10-01,49,1.5,0.0,,,5.0,10.0,40.0,30.0,10.0,5.0,,,,,0.0,,,,,,,,,,,,,
1999-10-01,52,1.5,0.0,,,,10.0,40.0,40.0,10.0,,,,,,0.0,,,,,,,,,,,,,
1999-10-01,53,1.9,0.0,,,,,,50.0,50.0,,,,,,0.0,,,,,,,,,,,,,
1999-10-01,54,1.8,0.0,,,,10.0,30.0,50.0,10.0,,,,,,0.0,,,,,,,,,,,,,
1999-10-01,55,2.0,1.1,,,3.4000000000000004,6.6000000000000005,20.7,25.7,25.0,13.100000000000001,3.8,,,,0.6,,,,,,,,,,,,,
1999-10-01,57,1.5,0.0,,,,,40.0,60.0,,,,,,,0.0,,,,,,,,,,,,,
1999-10-01,59,1.5,0.0,,,,10.0,30.0,40.0,20.0,,,,,,0.0,,,,,,,,,,,,,
1999-10-01,61,1.5,0.0,,,,,30.0,50.0,20.0,,,,,,0.0,,,,,,,,,,,,,
1999-10-01,64,2.0,1.0,,,1.0,3.0,15.0,30.0,30.0,15.0,3.0,,,,2.0,,,,,,,,,,,,,
1999-10-01,65,1.5,0.0,,,,,50.0,50.0,,,,,,,0.0,,,,,,,,,,,,,
1999-10-01,67,1.8,0.0,,,,,10.0,40.0,40.0,10.0,,,,,0.0,,,,,,,,,,,,,
1999-10-01,70,2.1,0.0,,,,,10.0,60.0,30.0,,,,,,0.0,,,,,,,,,,,,,
1999-10-01,72,2.0,5.0,,,5.0,8.0,10.0,20.0,17.0,15.0,10.0,,,,10.0,,,,,,,,,,,,,
1999-10-01,73,1.9,0.0,,,,,5.0,70.0,25.0,,,,,,0.0,,,,,,,,,,,,,
1999-10-01,76,1.7,0.0,,,5.0,10.0,20.0,30.0,20.0,10.0,5.0,,,,0.0,,,,,,,,,,,,,
1999-10-01,85,1.6,5.477261368904548,,,6.026986508794603,12.68365816746327,17.871064466425786,19.710144926057968,17.061469266587707,13.103448277379309,5.19740129896052,,,,2.868565719426287,,,,,,,,,,,,,
1999-10-01,87,1.7,0.0,,,,4.76190476,28.571428569999995,52.380952380000004,14.285714289999998,,,,,,0.0,,,,,,,,,,,,,
1999-10-01,88,1.8,0.0,,,,5.0,20.0,40.0,25.0,10.0,,,,,0.0,,,,,,,,,,,,,
1999-10-01,89,1.8,0.0,,,,5.0,20.0,50.0,20.0,5.0,,,,,0.0,,,,,,,,,,,,,
1999-10-01,90,1.6,0.0,,,,,25.0,75.0,,,,,,,0.0,,,,,,,,,,,,,
1999-10-01,91,1.2,0.0,,,2.2022021999999994,26.126126129999992,52.05205205,18.51851852,1.1011010999999997,0.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-10-01,92,1.8,0.0,,,3.9591315500000004,10.50446999,18.06087697,22.97786292,21.63686675,15.080885480000001,7.779906340000001,,,,0.0,,,,,,,,,,,,,
1999-10-01,94,1.5,0.0,,,,,30.0,70.0,,,,,,,0.0,,,,,,,,,,,,,
1999-10-01,95,1.6,0.0,,,4.040404040404041,13.131313131313133,23.232323232323232,26.262626262626267,19.191919191919194,10.101010101010102,3.0303030303030303,,,,1.0101010101010102,,,,,,,,,,,,,
2000-01-01,1,1.8,0.0,,,,,5.0,80.0,15.0,,,,,,0.0,,,,,,,,,,,,,
2000-01-01,2,1.8,0.0,,,5.0,10.0,20.0,30.0,25.0,10.0,,,,,0.0,,,,,,,,,,,,,
2000-01-01,3,1.9,0.0,,,,,10.0,50.0,40.0,,,,,,0.0,,,,,,,,,,,,,
