Date,FCT_SOURCE,POINT,"]-inf,-15]","[-15,-13]","[-13,-11]","[-11,-9]","[-9,-7]","[-7,-6]","[-6,-5.5]","[-5.5,-5]","[-5,-4.5]","[-4.5,-4]","[-4,-3.5]","[-3.5,-3.1]","[-3,-2.5]","[-2.5,-2.1]","[-2,-1.5]","[-1.5,-1.1]","[-1,-0.5]","[-0.5,-0.1]","[0,0.5]","[0.5,1]","[1,1.5]","[1.5,2]","[2,2.5]","[2.5,3]","[3,3.5]","[3.5,4]","[4.0,4.5]","[4.5,5]","[5,5.5]","[5.5,6]","[6,8]","[8,10]","[10,+inf["
1999-01-01,61.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,30.0,40.0,20.0,10.0,,0.0,0.0,0.0,0.0,,0.0,0.0
1999-01-01,62.0,2.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,10.0,60.0,30.0,,0.0,0.0,0.0,0.0,,0.0,0.0
1999-01-01,63.0,2.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,5.0,15.0,30.0,30.0,10.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0
1999-01-01,64.0,2.5,,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,5.0,5.0,14.000000000000002,15.0,20.0,15.0,14.000000000000002,10.0,0.25,0.25,0.0,0.0,,0.25,0.25
1999-01-01,65.0,2.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,10.0,40.0,50.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
1999-01-01,67.0,2.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,10.0,80.0,10.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
1999-01-01,68.0,2.3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20.0,60.0,20.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
1999-01-01,70.0,2.0,,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.5,2.5,0.0,0.0,,2.5,2.5
1999-01-01,71.0,2.25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,10.0,25.0,30.0,20.0,5.0,,0.0,0.0,0.0,0.0,,0.0,0.0
1999-01-01,72.0,2.5,,0.05941770647653001,0.05941770647653001,0.05941770647653001,0.05941770647653001,0.05941770647653001,0.05941770647653001,0.05941770647653001,0.05941770647653001,0.05941770647653001,0.05941770647653001,0.05941770647653001,0.05941770647653001,0.05941770647653001,0.05941770647653001,0.05941770647653001,0.05941770647653001,0.05941770647653001,3.03030303030303,6.06060606060606,9.090909090909092,12.12121212121212,18.181818181818183,20.2020202020202,12.12121212121212,9.090909090909092,2.272727272727273,2.272727272727273,0.0,0.0,,2.272727272727273,2.272727272727273
1999-01-01,76.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5.0,5.0,10.0,20.0,30.0,20.0,2.5,2.5,0.0,0.0,,2.5,2.5
1999-01-01,85.0,2.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,10.0,35.0,45.0,10.0,,0.0,0.0,0.0,0.0,,0.0,0.0
1999-01-01,86.0,2.3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,10.0,15.0,35.0,20.0,10.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0
1999-01-01,87.0,2.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,10.0,40.0,40.0,10.0,,0.0,0.0,0.0,0.0,,0.0,0.0
1999-01-01,88.0,2.5,,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1176470588235294,4.0,7.000000000000001,10.0,12.0,20.0,25.0,12.0,6.0,0.5,0.5,0.0,0.0,,0.5,0.5
1999-01-01,89.0,2.3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,10.0,60.0,30.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
1999-01-01,90.0,2.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.5,2.5,45.0,45.0,2.5,2.5,0.0,0.0,0.0,0.0,,0.0,0.0
1999-01-01,91.0,2.7,,0.04080918764705882,0.04080918764705882,0.04080918764705882,0.04080918764705882,0.04080918764705882,0.04080918764705882,0.04080918764705882,0.04080918764705882,0.04080918764705882,0.04080918764705882,0.04080918764705882,0.04080918764705882,0.04080918764705882,0.04080918764705882,0.04080918764705882,0.04080918764705882,0.04080918764705882,2.27948464,3.76610505,7.63131814,12.38850347,16.45193261,17.839445,15.758176410000003,11.39742319,2.948463825,2.948463825,0.0,0.0,,2.948463825,2.948463825
1999-01-01,94.0,2.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,10.0,30.0,50.0,10.0,,0.0,0.0,0.0,0.0,,0.0,0.0
1999-01-01,95.0,2.4,,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1176470588235294,5.0,5.0,12.5,12.5,16.0,16.0,11.0,11.0,2.25,2.25,0.0,0.0,,2.25,2.25
2000-01-01,1.0,2.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,10.0,40.0,40.0,10.0,,0.0,0.0,0.0,0.0,,0.0,0.0
2000-01-01,2.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.000000000000001,15.0,25.0,25.0,13.0,7.000000000000001,3.0,0.5,0.5,0.0,0.0,,0.5,0.5
